timestamp,day_index,day_type,load_kwh
2025-01-01 00:00:00,0,winter_weekday,10.3581
2025-01-01 01:00:00,0,winter_weekday,9.1173
2025-01-01 02:00:00,0,winter_weekday,6.2991
2025-01-01 03:00:00,0,winter_weekday,7.0173
2025-01-01 04:00:00,0,winter_weekday,7.9771
2025-01-01 05:00:00,0,winter_weekday,9.8663
2025-01-01 06:00:00,0,winter_weekday,14.4735
2025-01-01 07:00:00,0,winter_weekday,15.1562
2025-01-01 08:00:00,0,winter_weekday,20.2629
2025-01-01 09:00:00,0,winter_weekday,17.5669
2025-01-01 10:00:00,0,winter_weekday,15.9418
2025-01-01 11:00:00,0,winter_weekday,17.2558
2025-01-01 12:00:00,0,winter_weekday,15.0071
2025-01-01 13:00:00,0,winter_weekday,15.8707
2025-01-01 14:00:00,0,winter_weekday,16.835
2025-01-01 15:00:00,0,winter_weekday,12.7523
2025-01-01 16:00:00,0,winter_weekday,19.3263
2025-01-01 17:00:00,0,winter_weekday,19.796
2025-01-01 18:00:00,0,winter_weekday,26.031
2025-01-01 19:00:00,0,winter_weekday,25.6408
2025-01-01 20:00:00,0,winter_weekday,30.7284
2025-01-01 21:00:00,0,winter_weekday,21.6337
2025-01-01 22:00:00,0,winter_weekday,15.1298
2025-01-01 23:00:00,0,winter_weekday,11.1659
2025-01-06 00:00:00,5,winter_weekday,10.957
2025-01-06 01:00:00,5,winter_weekday,8.8422
2025-01-06 02:00:00,5,winter_weekday,6.6666
2025-01-06 03:00:00,5,winter_weekday,6.8697
2025-01-06 04:00:00,5,winter_weekday,8.0023
2025-01-06 05:00:00,5,winter_weekday,14.3202
2025-01-06 06:00:00,5,winter_weekday,16.4322
2025-01-06 07:00:00,5,winter_weekday,19.9859
2025-01-06 08:00:00,5,winter_weekday,17.5487
2025-01-06 09:00:00,5,winter_weekday,19.3278
2025-01-06 10:00:00,5,winter_weekday,17.1735
2025-01-06 11:00:00,5,winter_weekday,16.011
2025-01-06 12:00:00,5,winter_weekday,15.4739
2025-01-06 13:00:00,5,winter_weekday,14.3483
2025-01-06 14:00:00,5,winter_weekday,17.6642
2025-01-06 15:00:00,5,winter_weekday,14.9339
2025-01-06 16:00:00,5,winter_weekday,17.1303
2025-01-06 17:00:00,5,winter_weekday,18.167
2025-01-06 18:00:00,5,winter_weekday,22.656
2025-01-06 19:00:00,5,winter_weekday,37.8854
2025-01-06 20:00:00,5,winter_weekday,31.8979
2025-01-06 21:00:00,5,winter_weekday,25.2061
2025-01-06 22:00:00,5,winter_weekday,19.4817
2025-01-06 23:00:00,5,winter_weekday,15.6977
2025-01-08 00:00:00,7,winter_weekend,8.3606
2025-01-08 01:00:00,7,winter_weekend,9.3569
2025-01-08 02:00:00,7,winter_weekend,7.7198
2025-01-08 03:00:00,7,winter_weekend,7.7009
2025-01-08 04:00:00,7,winter_weekend,7.7709
2025-01-08 05:00:00,7,winter_weekend,9.138
2025-01-08 06:00:00,7,winter_weekend,12.3046
2025-01-08 07:00:00,7,winter_weekend,14.6537
2025-01-08 08:00:00,7,winter_weekend,16.8755
2025-01-08 09:00:00,7,winter_weekend,11.9337
2025-01-08 10:00:00,7,winter_weekend,13.7286
2025-01-08 11:00:00,7,winter_weekend,13.5783
2025-01-08 12:00:00,7,winter_weekend,18.7037
2025-01-08 13:00:00,7,winter_weekend,16.0848
2025-01-08 14:00:00,7,winter_weekend,10.1022
2025-01-08 15:00:00,7,winter_weekend,13.4726
2025-01-08 16:00:00,7,winter_weekend,12.6442
2025-01-08 17:00:00,7,winter_weekend,17.3213
2025-01-08 18:00:00,7,winter_weekend,23.2729
2025-01-08 19:00:00,7,winter_weekend,37.7926
2025-01-08 20:00:00,7,winter_weekend,23.8713
2025-01-08 21:00:00,7,winter_weekend,18.7095
2025-01-08 22:00:00,7,winter_weekend,11.2193
2025-01-08 23:00:00,7,winter_weekend,10.7928
2025-01-10 00:00:00,9,winter_weekday,8.0152
2025-01-10 01:00:00,9,winter_weekday,9.3454
2025-01-10 02:00:00,9,winter_weekday,8.4404
2025-01-10 03:00:00,9,winter_weekday,6.1838
2025-01-10 04:00:00,9,winter_weekday,6.9409
2025-01-10 05:00:00,9,winter_weekday,8.0129
2025-01-10 06:00:00,9,winter_weekday,14.1065
2025-01-10 07:00:00,9,winter_weekday,17.1913
2025-01-10 08:00:00,9,winter_weekday,17.0052
2025-01-10 09:00:00,9,winter_weekday,12.9571
2025-01-10 10:00:00,9,winter_weekday,17.3911
2025-01-10 11:00:00,9,winter_weekday,13.9693
2025-01-10 12:00:00,9,winter_weekday,11.1083
2025-01-10 13:00:00,9,winter_weekday,12.6675
2025-01-10 14:00:00,9,winter_weekday,12.9262
2025-01-10 15:00:00,9,winter_weekday,12.473
2025-01-10 16:00:00,9,winter_weekday,15.8921
2025-01-10 17:00:00,9,winter_weekday,18.6942
2025-01-10 18:00:00,9,winter_weekday,22.393
2025-01-10 19:00:00,9,winter_weekday,24.5651
2025-01-10 20:00:00,9,winter_weekday,26.9188
2025-01-10 21:00:00,9,winter_weekday,15.8157
2025-01-10 22:00:00,9,winter_weekday,13.4504
2025-01-10 23:00:00,9,winter_weekday,10.3716
2025-01-13 00:00:00,12,winter_weekday,7.6271
2025-01-13 01:00:00,12,winter_weekday,10.0122
2025-01-13 02:00:00,12,winter_weekday,9.3719
2025-01-13 03:00:00,12,winter_weekday,9.5979
2025-01-13 04:00:00,12,winter_weekday,9.1282
2025-01-13 05:00:00,12,winter_weekday,15.0797
2025-01-13 06:00:00,12,winter_weekday,13.7833
2025-01-13 07:00:00,12,winter_weekday,16.8765
2025-01-13 08:00:00,12,winter_weekday,23.2618
2025-01-13 09:00:00,12,winter_weekday,15.7446
2025-01-13 10:00:00,12,winter_weekday,17.3253
2025-01-13 11:00:00,12,winter_weekday,14.92
2025-01-13 12:00:00,12,winter_weekday,11.3724
2025-01-13 13:00:00,12,winter_weekday,11.3295
2025-01-13 14:00:00,12,winter_weekday,11.4257
2025-01-13 15:00:00,12,winter_weekday,13.7984
2025-01-13 16:00:00,12,winter_weekday,16.773
2025-01-13 17:00:00,12,winter_weekday,23.7078
2025-01-13 18:00:00,12,winter_weekday,24.9461
2025-01-13 19:00:00,12,winter_weekday,24.133
2025-01-13 20:00:00,12,winter_weekday,20.6945
2025-01-13 21:00:00,12,winter_weekday,21.8664
2025-01-13 22:00:00,12,winter_weekday,16.8867
2025-01-13 23:00:00,12,winter_weekday,12.6672
2025-01-15 00:00:00,14,winter_weekend,9.0551
2025-01-15 01:00:00,14,winter_weekend,7.415
2025-01-15 02:00:00,14,winter_weekend,8.8078
2025-01-15 03:00:00,14,winter_weekend,7.8761
2025-01-15 04:00:00,14,winter_weekend,6.6762
2025-01-15 05:00:00,14,winter_weekend,12.639
2025-01-15 06:00:00,14,winter_weekend,13.3651
2025-01-15 07:00:00,14,winter_weekend,17.1058
2025-01-15 08:00:00,14,winter_weekend,15.9345
2025-01-15 09:00:00,14,winter_weekend,15.0167
2025-01-15 10:00:00,14,winter_weekend,15.7879
2025-01-15 11:00:00,14,winter_weekend,13.332
2025-01-15 12:00:00,14,winter_weekend,14.2181
2025-01-15 13:00:00,14,winter_weekend,13.1287
2025-01-15 14:00:00,14,winter_weekend,14.7832
2025-01-15 15:00:00,14,winter_weekend,14.7812
2025-01-15 16:00:00,14,winter_weekend,11.9931
2025-01-15 17:00:00,14,winter_weekend,20.9968
2025-01-15 18:00:00,14,winter_weekend,23.1368
2025-01-15 19:00:00,14,winter_weekend,29.0832
2025-01-15 20:00:00,14,winter_weekend,28.6202
2025-01-15 21:00:00,14,winter_weekend,22.3731
2025-01-15 22:00:00,14,winter_weekend,13.6117
2025-01-15 23:00:00,14,winter_weekend,15.0726
2025-01-17 00:00:00,16,winter_weekday,7.989
2025-01-17 01:00:00,16,winter_weekday,9.1762
2025-01-17 02:00:00,16,winter_weekday,7.8437
2025-01-17 03:00:00,16,winter_weekday,7.5504
2025-01-17 04:00:00,16,winter_weekday,7.9177
2025-01-17 05:00:00,16,winter_weekday,11.197
2025-01-17 06:00:00,16,winter_weekday,15.6785
2025-01-17 07:00:00,16,winter_weekday,18.7835
